Date,Close/Last,Volume,Open,High,Low
09/06/2024,$141.81,11154800,$143.79,$143.94,$139.40
09/05/2024,$142.61,8733246,$141.40,$143.28,$140.305
09/04/2024,$140.75,6243325,$138.44,$141.1009,$137.95
09/03/2024,$139.50,6831174,$140.45,$142.20,$138.83
08/30/2024,$141.29,7980679,$140.33,$141.72,$140.095
08/29/2024,$139.42,4588361,$139.14,$141.16,$138.85
08/28/2024,$137.88,3022639,$138.83,$138.95,$136.91
08/27/2024,$138.48,3872342,$137.85,$139.50,$137.74
08/26/2024,$138.90,2729605,$139.39,$139.40,$138.19
08/23/2024,$139.19,4544571,$138.73,$139.79,$137.26
08/22/2024,$138.08,5162189,$140.70,$141.08,$137.65
08/21/2024,$140.20,3776768,$138.80,$140.30,$138.55
08/20/2024,$139.17,3738261,$137.82,$139.79,$137.82
08/19/2024,$137.92,3641585,$137.53,$137.95,$136.455
08/16/2024,$137.47,4893787,$136.79,$137.82,$136.39
08/15/2024,$136.93,4698128,$136.93,$137.25,$135.72
08/14/2024,$135.60,4044630,$134.04,$135.97,$134.01
08/13/2024,$134.26,4324038,$132.97,$134.54,$132.81
08/12/2024,$132.58,5600826,$132.25,$132.71,$131.21
08/09/2024,$132.06,5597278,$128.40,$132.37,$128.34
08/08/2024,$128.96,6243219,$128.00,$129.82,$127.65
08/07/2024,$125.90,8617652,$128.92,$130.30,$125.75
08/06/2024,$128.21,8373891,$130.54,$131.0375,$128.08
08/05/2024,$127.86,10354990,$127.89,$129.97,$126.6639
08/02/2024,$133.28,8251585,$132.77,$134.30,$131.80
08/01/2024,$137.51,5906808,$139.29,$140.39,$135.77
07/31/2024,$139.45,7188043,$139.69,$141.55,$138.66
07/30/2024,$135.67,6505701,$139.07,$139.565,$134.96
07/29/2024,$138.31,4054647,$139.27,$139.78,$137.825
07/26/2024,$139.01,5139377,$138.87,$139.96,$138.38
07/25/2024,$137.82,7654625,$140.15,$141.07,$137.70
07/24/2024,$138.77,8018807,$141.70,$142.66,$138.40
07/23/2024,$143.11,6697410,$141.30,$143.22,$141.21
07/22/2024,$140.17,5387176,$139.74,$140.68,$139.12
07/19/2024,$138.56,6111941,$138.35,$140.44,$138.08
07/18/2024,$138.03,5998726,$139.36,$140.06,$137.202
07/17/2024,$139.26,9157003,$140.48,$141.79,$138.6801
07/16/2024,$142.61,7181470,$143.07,$143.50,$142.05
07/15/2024,$143.07,8687837,$145.73,$146.59,$141.92
07/12/2024,$144.77,7361770,$142.71,$145.13,$141.26
07/11/2024,$142.76,5246402,$142.36,$143.48,$141.6784
07/10/2024,$142.07,6350258,$141.12,$142.38,$139.735
07/09/2024,$140.68,14340040,$145.13,$145.6999,$138.00
07/08/2024,$145.03,8622633,$144.76,$145.23,$143.43
07/05/2024,$144.83,5365527,$144.95,$145.785,$144.02
07/03/2024,$144.38,3560778,$143.75,$144.65,$143.50
07/02/2024,$143.28,5920529,$142.63,$144.22,$142.55
07/01/2024,$143.09,6552353,$141.69,$144.055,$141.07
06/28/2024,$141.20,25814820,$139.435,$142.82,$139.27
06/27/2024,$140.18,7518199,$139.25,$141.42,$138.81
06/26/2024,$138.23,8036309,$139.49,$140.745,$138.08
06/25/2024,$139.17,8469641,$139.00,$139.55,$137.56
06/24/2024,$139.89,7793293,$140.00,$141.53,$139.12
06/21/2024,$141.50,14930880,$143.72,$143.72,$140.44
06/20/2024,$142.91,8940005,$145.32,$145.32,$141.95
06/18/2024,$144.64,11629400,$141.22,$145.06,$141.22
06/17/2024,$141.31,11232750,$138.80,$141.44,$138.25
06/14/2024,$138.13,11330790,$139.26,$139.97,$137.38
06/13/2024,$139.85,13733250,$140.43,$142.40,$138.77
06/12/2024,$140.38,40871320,$134.69,$140.955,$133.96
06/11/2024,$123.88,18373940,$124.05,$124.83,$122.29
06/10/2024,$124.50,10190450,$125.73,$126.95,$124.05
06/07/2024,$125.92,11544960,$124.21,$126.22,$123.27
06/06/2024,$123.50,7347249,$122.88,$124.27,$122.25
06/05/2024,$122.63,5973706,$121.65,$122.79,$120.5077
06/04/2024,$120.07,7367975,$119.02,$120.37,$118.72
06/03/2024,$119.28,7256308,$117.53,$119.33,$117.34
05/31/2024,$117.19,12755640,$116.59,$117.4175,$114.55
05/30/2024,$117.09,10851550,$120.17,$121.44,$117.03
05/29/2024,$123.74,4735091,$122.99,$123.92,$122.77
05/28/2024,$124.49,6911394,$123.24,$124.82,$123.011
05/24/2024,$122.91,7173435,$123.42,$123.51,$121.42
05/23/2024,$124.09,6108584,$126.55,$126.70,$123.16
05/22/2024,$124.60,5705042,$124.63,$125.16,$123.295
05/21/2024,$124.63,5549456,$124.46,$125.36,$123.92
05/20/2024,$124.52,5989022,$123.80,$124.68,$123.24
05/17/2024,$123.50,6179367,$123.18,$123.58,$122.08
05/16/2024,$122.16,5159256,$121.94,$122.45,$121.21
05/15/2024,$121.63,6604632,$120.17,$122.09,$119.67
05/14/2024,$120.87,17811220,$116.50,$122.55,$116.13
05/13/2024,$116.37,4139953,$117.13,$117.19,$116.195
05/10/2024,$116.67,4122531,$117.15,$117.63,$115.91
05/09/2024,$116.64,3236316,$117.39,$117.7256,$116.50
05/08/2024,$117.39,4635960,$117.71,$117.98,$117.11
05/07/2024,$117.93,6437743,$118.00,$119.129,$117.29
05/06/2024,$118.34,6052397,$116.33,$118.36,$116.18
05/03/2024,$115.80,4484976,$115.98,$116.21,$115.07
05/02/2024,$114.96,5001045,$115.23,$115.81,$114.26
05/01/2024,$114.63,5583638,$113.91,$116.76,$113.65
04/30/2024,$113.75,6234710,$115.09,$115.52,$113.69
04/29/2024,$116.49,5190565,$116.99,$117.31,$115.29
04/26/2024,$117.21,8355111,$117.04,$119.21,$116.15
04/25/2024,$114.89,6796627,$113.63,$114.99,$112.78
04/24/2024,$115.34,5791761,$115.38,$115.73,$113.88
04/23/2024,$115.09,5494823,$115.17,$115.86,$114.75
04/22/2024,$114.53,7125490,$116.03,$116.335,$114.34
04/19/2024,$114.88,8251495,$116.12,$116.77,$114.46
04/18/2024,$116.00,6662406,$118.76,$118.76,$115.70
04/17/2024,$118.67,5366587,$120.98,$121.04,$118.61
04/16/2024,$120.62,6999959,$120.09,$121.4426,$119.75
04/15/2024,$119.88,5101455,$122.18,$122.47,$119.44
04/12/2024,$121.11,6196877,$121.74,$121.84,$120.415
04/11/2024,$123.24,7315241,$121.72,$123.82,$121.36
04/10/2024,$121.75,4509869,$121.35,$123.08,$121.32
04/09/2024,$123.23,5564905,$124.35,$124.75,$121.24
04/08/2024,$124.35,6119225,$125.00,$125.115,$123.76
04/05/2024,$124.90,4899499,$124.42,$125.995,$124.14
04/04/2024,$124.19,7588298,$127.60,$127.99,$124.03
04/03/2024,$126.24,7429977,$124.26,$126.405,$124.06
04/02/2024,$124.34,4862415,$124.51,$124.93,$123.43
04/01/2024,$125.48,4133571,$125.54,$126.272,$124.56
03/28/2024,$125.61,6587431,$125.39,$126.17,$125.20
03/27/2024,$125.27,8115884,$127.33,$127.82,$124.47
03/26/2024,$126.47,7063930,$126.75,$126.935,$125.84
03/25/2024,$126.08,7446068,$127.67,$127.67,$126.05
03/22/2024,$127.79,6659950,$129.01,$129.205,$127.55
03/21/2024,$129.01,17842360,$130.52,$132.7737,$128.95
03/20/2024,$129.24,8373330,$129.98,$130.69,$128.27
03/19/2024,$129.19,10220950,$127.745,$129.21,$126.49
03/18/2024,$127.80,12231420,$127.20,$128.95,$126.88
03/15/2024,$125.54,17844880,$124.04,$126.01,$123.5586
03/14/2024,$125.53,10965900,$127.23,$127.80,$124.94
03/13/2024,$125.52,15870350,$128.00,$128.80,$124.83
03/12/2024,$127.54,48536080,$126.26,$129.37,$124.60
03/11/2024,$114.13,20438340,$111.61,$114.75,$111.18
03/08/2024,$112.42,8312943,$114.07,$114.33,$111.54
03/07/2024,$114.54,7670135,$113.94,$114.80,$112.29
03/06/2024,$112.27,6706372,$111.50,$113.05,$110.67
03/05/2024,$110.94,8241978,$112.82,$113.20,$110.365
03/04/2024,$114.06,6588062,$113.58,$114.60,$113.39
03/01/2024,$113.78,7605145,$111.68,$113.94,$111.52
02/29/2024,$111.68,12193860,$111.68,$112.4423,$110.635
02/28/2024,$111.68,5278179,$111.26,$112.02,$111.10
02/27/2024,$111.38,6593144,$110.62,$111.51,$109.79
02/26/2024,$110.97,6342943,$112.00,$112.54,$110.93
02/23/2024,$111.95,7504506,$112.00,$113.37,$111.71
02/22/2024,$111.01,8957789,$111.49,$111.885,$109.66
02/21/2024,$108.16,7867610,$106.76,$108.375,$106.51
02/20/2024,$108.45,10975640,$110.54,$110.765,$107.68
02/16/2024,$111.31,8936016,$113.02,$113.11,$111.245
02/15/2024,$112.78,8455623,$114.25,$114.31,$112.57
02/14/2024,$114.26,5946116,$114.32,$114.72,$113.53
02/13/2024,$113.68,8171722,$113.79,$114.21,$113.00
02/12/2024,$115.84,5439629,$116.26,$117.10,$115.38
02/09/2024,$116.64,5787142,$117.06,$117.34,$115.73
02/08/2024,$116.68,4472770,$117.09,$117.7872,$115.97
02/07/2024,$117.27,7672882,$115.80,$117.59,$115.30
02/06/2024,$115.30,4639268,$116.74,$116.95,$114.98
02/05/2024,$116.39,8084508,$115.53,$116.715,$114.77
02/02/2024,$115.79,6499594,$115.82,$116.49,$115.1575
02/01/2024,$115.53,7882168,$112.91,$115.78,$112.55
01/31/2024,$111.70,7386705,$113.81,$114.27,$111.67
01/30/2024,$114.16,8231882,$113.36,$114.40,$112.63
01/29/2024,$113.75,7014424,$114.19,$114.59,$113.01
01/26/2024,$114.64,5541900,$114.64,$115.48,$114.2746
01/25/2024,$115.00,8877205,$114.89,$116.18,$114.35
01/24/2024,$114.31,11702700,$113.42,$115.42,$113.33
01/23/2024,$111.83,9185921,$110.29,$112.68,$109.56
01/22/2024,$110.10,7485307,$110.06,$110.69,$109.27
01/19/2024,$109.67,11163770,$109.32,$110.22,$109.02
01/18/2024,$108.70,10362280,$106.99,$108.88,$106.62
01/17/2024,$106.43,7771460,$106.46,$107.50,$105.68
01/16/2024,$106.57,7547241,$106.41,$106.66,$105.42
01/12/2024,$106.60,9703848,$105.10,$106.70,$104.965
01/11/2024,$104.77,6118998,$104.35,$104.84,$103.54
01/10/2024,$103.92,7270545,$103.09,$104.07,$102.72
01/09/2024,$103.63,6725200,$103.85,$104.48,$103.29
01/08/2024,$104.66,7038658,$102.94,$104.77,$102.13
01/05/2024,$102.73,6133770,$102.53,$103.72,$102.29
01/04/2024,$102.59,6822299,$102.77,$103.36,$102.40
01/03/2024,$102.46,9455569,$103.30,$103.38,$101.74
01/02/2024,$104.06,9597500,$104.52,$104.68,$102.44
12/29/2023,$105.43,6899695,$106.60,$106.918,$104.78
12/28/2023,$106.25,5689057,$106.01,$106.605,$105.58
12/27/2023,$105.94,5627364,$106.32,$106.33,$105.56
12/26/2023,$106.19,5767415,$106.52,$106.65,$105.34
12/22/2023,$106.20,5680031,$105.70,$106.49,$105.46
12/21/2023,$105.86,8168010,$104.70,$105.925,$104.52
12/20/2023,$104.15,9241956,$105.95,$106.09,$104.05
12/19/2023,$106.25,10108510,$104.98,$106.34,$104.80
12/18/2023,$105.00,13473120,$103.41,$106.156,$102.91
12/15/2023,$103.32,30212320,$99.69,$103.99,$99.36
12/14/2023,$100.31,22865160,$101.87,$102.2494,$99.87
12/13/2023,$102.99,29392210,$101.08,$103.10,$99.26
12/12/2023,$100.81,57666470,$102.70,$104.95,$100.69
12/11/2023,$115.13,19544240,$113.77,$115.35,$113.61
12/08/2023,$113.61,7765999,$112.01,$113.64,$111.59
12/07/2023,$112.87,6772848,$112.41,$113.03,$111.81
12/06/2023,$112.03,7815722,$114.94,$114.99,$111.93
12/05/2023,$114.53,5913562,$114.57,$115.27,$113.81
12/04/2023,$115.78,5587538,$116.27,$116.68,$114.55
12/01/2023,$117.16,5739833,$116.07,$117.35,$115.26
11/30/2023,$116.21,11075590,$116.86,$117.23,$115.18
11/29/2023,$116.21,6127312,$117.34,$117.58,$115.96
11/28/2023,$116.24,4892619,$116.00,$116.80,$115.87
11/27/2023,$116.47,5165309,$116.005,$116.77,$115.45
11/24/2023,$116.25,2168187,$116.49,$116.59,$115.34
11/22/2023,$116.24,4344743,$116.70,$117.29,$115.51
11/21/2023,$116.08,5995308,$117.21,$117.67,$115.68
11/20/2023,$116.92,5729247,$115.65,$117.149,$115.51
11/17/2023,$115.36,4793121,$114.61,$115.64,$114.16
11/16/2023,$114.67,7476084,$113.76,$115.87,$113.47
11/15/2023,$114.06,7386240,$116.15,$116.31,$113.925
11/14/2023,$116.10,6733655,$114.86,$116.46,$114.45
11/13/2023,$114.15,5740466,$113.07,$114.49,$112.78
11/10/2023,$113.07,5243795,$112.09,$113.18,$111.14
11/09/2023,$112.18,6853941,$112.40,$113.3091,$111.61
11/08/2023,$112.33,10994910,$109.23,$112.56,$109.19
11/07/2023,$108.99,7412638,$109.99,$110.3799,$108.58
11/06/2023,$109.11,6062799,$108.06,$109.21,$107.44
11/03/2023,$108.05,7280025,$107.17,$109.07,$106.62
11/02/2023,$106.87,5918301,$106.45,$107.22,$105.57
11/01/2023,$105.75,8602440,$103.80,$106.20,$103.80
10/31/2023,$103.40,6258385,$102.005,$103.52,$101.10
10/30/2023,$101.65,5433719,$101.14,$102.4067,$100.82
10/27/2023,$100.99,5207854,$101.00,$102.09,$100.59
10/26/2023,$100.40,7565581,$101.69,$102.39,$99.87
10/25/2023,$101.43,7081685,$102.70,$103.67,$101.01
10/24/2023,$103.20,6173992,$103.95,$104.46,$102.50
10/23/2023,$103.66,10722580,$102.04,$104.69,$102.01
10/20/2023,$101.85,21831360,$106.99,$107.035,$100.66
10/19/2023,$108.34,7989244,$108.63,$110.22,$108.19
10/18/2023,$108.25,5123946,$108.40,$109.73,$107.86
10/17/2023,$109.04,5261788,$107.58,$109.79,$106.902
10/16/2023,$108.71,5487985,$108.95,$109.59,$108.3116
10/13/2023,$108.25,5882175,$109.19,$109.51,$107.79
10/12/2023,$109.11,6598533,$109.95,$110.92,$108.88
10/11/2023,$109.64,5641686,$109.51,$110.059,$108.83
10/10/2023,$109.71,6910436,$110.21,$111.06,$109.62
10/09/2023,$110.32,6012363,$110.75,$110.97,$109.47
10/06/2023,$109.96,8246950,$107.93,$110.53,$107.58
10/05/2023,$108.35,7651479,$106.97,$108.44,$106.185
10/04/2023,$107.08,8842650,$104.96,$107.30,$104.50
10/03/2023,$104.52,8783327,$106.42,$106.50,$103.54
10/02/2023,$106.71,5963457,$105.81,$106.7347,$105.29
09/29/2023,$105.92,7299109,$107.11,$107.365,$105.38
09/28/2023,$106.15,7373621,$104.03,$106.60,$103.27
09/27/2023,$104.62,8916439,$105.00,$105.2768,$103.35
09/26/2023,$104.88,13209050,$107.14,$107.40,$104.31
09/25/2023,$108.30,8410012,$108.45,$108.65,$107.50
09/22/2023,$109.03,11152050,$109.99,$110.60,$108.51
09/21/2023,$109.43,12653520,$111.51,$112.50,$109.331
09/20/2023,$112.87,8779955,$112.81,$114.6953,$112.46
09/19/2023,$112.77,9536119,$112.475,$113.74,$111.71
09/18/2023,$112.21,11744060,$113.42,$114.465,$111.58
